Time,Ch1,Ch2,Ch3,Ch4,Ch5,Ch6,Ch7,Ch8,Ch9,Ch10,Ch11,Ch12,Ch13,Ch14,Ch15,Ch16,Ch17,Ch18,Ch19,Ch20,Ch21,Ch22,Ch23,Ch24,Ch25,Ch26,Ch27,Ch28,Ch29,Ch30,Ch31,Ch32,Ch33,Ch34,Ch35,Ch36,Ch37,Ch38,Ch39,Ch40,Ch41,Ch42,Ch43,Ch44,Ch45,Ch46,Ch47,Ch48,Ch49,Ch50,Ch51,Ch52,Ch53,Ch54,Ch55,Ch56,Ch57,Ch58,Ch59,Ch60,Ch61,Ch62,Ch63,Ch64,Ch65,Ch66,Sample_Name
37.8,13567,13568.1,1200.5,1200.4,1200.8,7240.5,7202.9,7174.5,3297.3,3297.1,3297.2,4832.5,4833,4832.9,21544.5,21544.6,12333.5,12335.3,5882,5881.8,5881.8,1069.1,1069.3,1069.5,3230.4,3230,3230,2900.6,2900,2900.6,13654.8,13654.1,59580.1,59561.9,85351.3,85419.9,85438.9,1394.6,1393.9,1394.3,5448.2,5447.2,5448.1,5462.6,5460.3,5460.7,28719,28720.9,14631.8,14632.4,2352.8,2352.2,2352,4987.4,4987.8,4988.2,2025.7,2025.4,2025.6,1949.2,1949,1949.2,11262.1,11262.2,37.52,30.76,0.1
39.6,13566.5,13564.9,1200.4,1200.2,1200.6,7239.4,7201,7173.1,3297.3,3296.9,3297.3,4832.2,4831.8,4832.3,21545.6,21547.4,12333.5,12331.2,5881,5880.6,5880.3,1068.8,1069.2,1069.4,3231.2,3230.7,3231.3,2900.5,2899.9,2900.1,13654.2,13651.4,59586.3,59555.6,85259.3,85266.4,85335.3,1394.7,1394,1394.3,5449.3,5448,5448.4,5467,5464.2,5464,28720.8,28719.3,14628.2,14634,2353.6,2352.7,2352.8,4987.8,4987.5,4987.6,2026,2025.7,2025.8,1949,1949.2,1949.1,11261.9,11261,37.549999,30.77,0.1
41.4,13568.9,13570,1200.3,1200,1200.4,7238.5,7200.7,7172.5,3296.7,3296.4,3296.7,4832.8,4832.4,4832.5,21553.1,21554.8,12328.2,12329.9,5880.8,5880.5,5881,1069,1069,1069.4,3231.1,3231,3230.3,2900.6,2900.3,2900.5,13650.3,13652.3,59611.7,59575.5,85352.1,85362.1,85393.6,1394.7,1393.9,1394.3,5449.9,5448.3,5449.4,5465.7,5465.6,5462,28715.1,28717.2,14625.2,14623.8,2354.2,2353.4,2353.4,4986,4986.7,4986.7,2026,2025.7,2025.8,1948.7,1948.9,1948.8,11261.8,11260.1,37.52,30.77,0.1
43.2,13570.6,13571.2,1200.3,1200.1,1200.4,7236.8,7199.6,7170.4,3296.5,3296,3296.6,4832.4,4831.5,4832.8,21553.8,21553.5,12330,12330.8,5880,5880.2,5880.6,1068.9,1069,1069.3,3230.5,3230,3229.7,2900.4,2899.9,2900.1,13651.7,13651.8,59578.8,59562.3,85276.4,85234.2,85284.5,1394.9,1393.9,1394.2,5447.9,5446.9,5447.9,5465.5,5465.2,5466.1,28712.9,28708.9,14628.4,14625.8,2354.2,2352.9,2352.5,4987.2,4986.6,4986.8,2025.9,2025.6,2025.9,1948.8,1948.8,1949.1,11263.2,11261,37.549999,30.76,0.1
45,13567.4,13566.4,1200.2,1199.9,1200.3,7234.7,7197,7168.8,3296.4,3295.9,3296.1,4832.8,4832.2,4833.4,21550.3,21547.2,12327.9,12325.8,5879,5878.1,5879.5,1068.9,1069.1,1069.2,3230.4,3230.6,3230.5,2900.3,2899.8,2899.9,13650.1,13649,59573.2,59581.6,85306.8,85297.2,85268.2,1394.6,1393.8,1394.2,5447.9,5447,5446.5,5465.7,5464.1,5465.4,28710.1,28707,14624.3,14624.3,2353.7,2352.7,2352.5,4986.1,4986.6,4986.7,2025.7,2025.4,2025.7,1948.4,1948.5,1948.6,11260.7,11258,37.549999,30.74,0.1
46.8,13566.5,13565.7,1199.9,1199.9,1200.3,7233.1,7195.9,7167.1,3296.2,3295.6,3295.8,4832.9,4831.9,4832.7,21547.3,21548.7,12325.7,12324.6,5878.9,5878.5,5878.4,1068.7,1069,1069.1,3230.5,3230.8,3230.8,2900.4,2900.1,2900.4,13645.5,13642.3,59564.1,59538.1,85165.3,85238.3,85244.6,1394.7,1393.7,1394.2,5448.5,5447.7,5447.8,5468,5465.9,5465.3,28698.6,28699.1,14630.1,14626.5,2354.2,2353.7,2353.7,4984.9,4984.5,4985.7,2026,2025.5,2025.5,1948.5,1948.5,1948.7,11256,11254,37.560001,30.76,0.1
48.6,13563.7,13563.8,1200,1199.7,1200,7233.1,7195.7,7166.8,3295.7,3295.2,3295.4,4834.4,4834.3,4834.5,21550.5,21556.8,12327.2,12328.8,5878.7,5877.9,5878.2,1068.7,1068.9,1069,3231.5,3231.2,3232,2900.1,2899.6,2899.8,13646,13649.2,59588,59571.6,85249.9,85276,85296.2,1394.5,1393.9,1394.2,5447.1,5446.8,5445.8,5467,5464.9,5465.9,28709.8,28702.9,14630.6,14625.3,2353.4,2352.8,2353,4983.8,4984.9,4985.3,2025.9,2025.5,2025.7,1948.6,1948.5,1948.8,11258.4,11257.3,37.59,30.76,0.1
50.4,13565.2,13563.5,1199.9,1199.7,1200,7233.4,7195.4,7166.5,3295,3295,3294.8,4833.6,4833.6,4834.1,21546.6,21557.9,12335.7,12334.4,5878.1,5877.8,5878.3,1068.7,1068.8,1069.1,3231.7,3231.8,3232,2899.9,2899.4,2899.7,13647.9,13646.7,59611,59607.3,85286.1,85264.3,85257.5,1394.4,1393.7,1394,5447.4,5446.7,5446.4,5466.9,5465.9,5466.6,28704.1,28706.6,14627.9,14628.6,2353.8,2352.7,2353,4984.4,4985.3,4984.9,2025.6,2025.2,2025.5,1947.9,1948.4,1948.8,11260.3,11260.2,37.540001,30.77,0.1
52.2,13567.2,13564.2,1199.7,1199.5,1199.9,7232.9,7194.7,7166.7,3295.1,3294.6,3294.7,4832.8,4834,4834,21548.5,21546.5,12327.3,12324.3,5877.3,5877.4,5878.2,1068.7,1068.9,1069.1,3232.2,3232.1,3231.6,2899.6,2899.4,2899.4,13648.4,13648.1,59580.1,59570.2,85323.4,85347.7,85309.3,1394.1,1393.7,1393.9,5447.4,5446.8,5446.9,5463.1,5462.9,5462.6,28704,28695.7,14626,14621.3,2352.9,2352.4,2352.6,4984.1,4983.7,4984.8,2025.6,2025.4,2025.7,1948.6,1948.6,1948.8,11258.1,11255.7,37.580002,30.76,0.1
54,13563.7,13561.8,1199.6,1199.4,1199.7,7232.7,7195.3,7165,3294.3,3294,3294.6,4834.4,4833.3,4834.2,21546.4,21548.1,12327.7,12328.4,5877,5876.7,5876.4,1068.6,1068.9,1069.1,3231.2,3231.3,3230.9,2899.6,2899.4,2899.3,13645.9,13646.4,59556.3,59570.8,85276.7,85232.9,85264.1,1394.4,1393.5,1393.9,5447.8,5446.3,5445.7,5467.9,5463.6,5465.4,28702.4,28703.3,14623.1,14624.8,2353.6,2352.7,2352.4,4984.4,4984.9,4984.7,2025.5,2025.1,2025.3,1948.4,1948.3,1948.7,11257.8,11255,37.560001,30.77,0.1
55.8,13562.2,13559.7,1199.5,1199.3,1199.7,7231,7193.1,7165,3294.3,3293.9,3294.4,4833.4,4833.3,4833.5,21554.4,21558.1,12324.3,12327.1,5877.1,5876.6,5876,1068.6,1068.7,1069,3231.2,3231.3,3231.8,2899.6,2899.2,2899.4,13647.8,13646.9,59581,59615.9,85289.5,85320.6,85260.4,1394.2,1393.6,1394,5446,5445.2,5446.1,5464.5,5463.2,5463.5,28700.2,28699.6,14624.2,14623.8,2353.4,2352.6,2352.4,4984.1,4983.5,4984.4,2025.6,2025.3,2025.5,1948.5,1948.2,1948.5,11256.8,11253.6,37.52,30.77,0.1
57.6,13563.3,13561.8,1199.3,1199.2,1199.5,7230,7192,7163.9,3294.3,3293.6,3294,4835.3,4834.1,4835.2,21544.7,21546.8,12328.8,12326,5876.7,5876.3,5876,1068.5,1068.7,1068.7,3231.7,3231.6,3232.4,2899.2,2899,2899.3,13646.7,13649.9,59550.6,59576.4,85225.5,85262.8,85299.2,1394,1393.4,1393.9,5446.9,5446.1,5445,5461.5,5463.1,5461.8,28691.7,28702.1,14623.7,14619.2,2353.4,2352.1,2352.1,4983.7,4983.6,4983.9,2025.2,2025,2025.3,1948.5,1948.1,1948.3,11256,11251.7,37.509998,30.77,0.1
59.4,13563.8,13561.5,1199.2,1199,1199.4,7230.4,7192.9,7164,3294.1,3293.3,3293.9,4834.3,4833.2,4833.3,21546.6,21546.9,12322.5,12324.9,5875.7,5875.2,5875.4,1068.4,1068.6,1068.9,3231.5,3230.9,3232,2899.2,2898.5,2899,13645.7,13644.4,59588.5,59593.5,85237.4,85205.2,85231.4,1394.1,1393.5,1393.9,5445.9,5446.1,5445.5,5464,5464.6,5466,28692.4,28690.1,14629.8,14622.5,2354.5,2353.3,2353.2,4984.5,4984.1,4983.9,2025.5,2025.2,2025.3,1948.2,1948.3,1948.3,11256.3,11256.5,37.540001,30.77,0.1
61.2,13562.3,13560.9,1199.2,1199,1199.3,7229.3,7192,7163.3,3293.8,3293,3293.3,4833.5,4833.9,4833.9,21549.2,21547.1,12321.4,12320.8,5874.9,5874.6,5874.9,1068.3,1068.6,1068.8,3231.4,3231.7,3232,2898.8,2898.9,2898.8,13643.3,13641.6,59556.8,59570.6,85295,85294.8,85279.9,1394.1,1393.3,1393.5,5446.4,5445.2,5446.1,5466.1,5464,5464.2,28684.9,28688.4,14622.6,14618.7,2353,2352.6,2352.6,4982.3,4983.1,4982.9,2025.2,2024.8,2024.9,1947.7,1947.5,1947.9,11257.2,11256.2,37.5,30.74,0.1
63,13560.2,13557.9,1199.1,1198.9,1199.2,7228.7,7190.7,7162.4,3293.1,3293,3293.1,4834,4834.2,4834.6,21554.2,21548.3,12323.3,12318.6,5874.4,5874.6,5874.6,1068.4,1068.4,1068.7,3230.8,3230.5,3231.1,2898.9,2898.3,2898.9,13641.9,13643.1,59568.2,59605.8,85228.5,85302.1,85272.4,1393.8,1393.2,1393.6,5445.4,5445,5444.4,5465.6,5464.7,5465.7,28685.2,28685.9,14616.8,14616.8,2353.1,2352.2,2352,4982.3,4982.6,4983.1,2025.1,2024.6,2024.7,1948.2,1947.8,1948.2,11260.2,11259.1,37.509998,30.76,0.1
64.8,13558.8,13558.1,1199,1198.8,1199.1,7227.2,7190.1,7162,3292.8,3292.6,3293.1,4832.6,4831.8,4833.1,21546.8,21547.2,12314.8,12318.6,5873.4,5873.5,5873.4,1068.1,1068.4,1068.6,3230.9,3231,3230.9,2898.7,2898.2,2898.5,13640.7,13642.6,59552.3,59562.9,85249.6,85277.6,85238.5,1394.1,1393.3,1393.6,5446.1,5445.3,5445.7,5465.1,5464.6,5464,28681.5,28686.6,14619.1,14619.8,2352.9,2351.9,2352.4,4982.4,4982.3,4982.7,2025.1,2024.7,2024.7,1947.3,1947.4,1947.9,11259.8,11259.1,37.459999,30.76,0.1
66.6,13560.7,13560.4,1198.8,1198.7,1198.9,7225.1,7187.8,7159.5,3292.5,3292.2,3292.5,4833.1,4833,4833.7,21540.9,21544,12315.9,12313.4,5873.5,5872.3,5872.6,1068.3,1068.4,1068.6,3229.8,3230,3230.8,2898.2,2897.9,2898.1,13642.4,13640.1,59527,59561.6,85184.4,85282.6,85192.3,1393.9,1393.2,1393.5,5445.8,5444.7,5444.9,5465.8,5462.2,5463.2,28674,28674.4,14617.7,14616.4,2352.9,2352.3,2352.3,4981.3,4981.5,4981.4,2025.1,2024.8,2024.9,1947.9,1947.9,1948.4,11252.3,11253.1,37.490002,30.77,0.1
68.4,13563.2,13559.2,1198.6,1198.5,1198.8,7223,7185.5,7156.7,3292.5,3291.9,3292.2,4833.3,4831.8,4832.9,21550.8,21547.4,12315.1,12317.3,5872.4,5871.5,5872.7,1068.1,1068.3,1068.5,3229.7,3229.8,3229.9,2898.3,2898.2,2898.2,13641.2,13639.7,59534.2,59550.4,85205.7,85263.6,85303.4,1393.8,1393.1,1393.3,5445.8,5445,5445.2,5465.2,5464.4,5464.5,28672.4,28676.4,14617.5,14620.1,2353.2,2352.3,2352.3,4981.3,4980.9,4981.4,2025.2,2024.8,2024.9,1947.8,1948,1948.3,11255.6,11256,37.509998,30.790001,0.1
70.2,13559,13558.5,1198.6,1198.3,1198.7,7222,7182.6,7156,3292.2,3291.3,3291.6,4833.5,4833.5,4834.1,21546.9,21550,12319.7,12316.8,5871.7,5871.6,5872,1067.9,1068.2,1068.5,3230.1,3230.3,3231.5,2897.9,2897.7,2898,13641.9,13639.6,59533.6,59531.3,85204.6,85250.5,85262.3,1393.7,1393,1393.4,5444.4,5443.2,5443.4,5460.3,5459,5461.6,28668.6,28667.8,14614.9,14618.9,2353.5,2352.8,2352.8,4980.3,4980,4980.9,2024.7,2024.5,2024.6,1947.7,1947.6,1947.8,11255.1,11255.7,37.509998,30.76,0.1
72,13554.4,13555.2,1198.6,1198.3,1198.6,7219.9,7182.8,7154.6,3291.8,3291.4,3291.5,4833.1,4831.2,4832.8,21545,21547,12315.6,12314.9,5870.8,5870.9,5870.4,1067.9,1068.2,1068.4,3230.3,3230.7,3231,2897.8,2897.6,2897.8,13638.7,13637.2,59562.8,59559.5,85200,85222.6,85264.5,1393.8,1393.1,1393.4,5444.9,5443.5,5443.2,5464.7,5460.2,5460.4,28672.9,28676.2,14611.2,14617.9,2353.7,2352.5,2352.1,4980.5,4980.3,4980.4,2024.5,2024.3,2024.4,1947.4,1947.4,1947.9,11252.3,11254.4,37.509998,30.77,0.1
